time,cycle0,cycle1,cycle2,resets,time_switch0,time_switch1,time_switch2,test_seq0,test_seq1,test_seq2,state0,state1,state2,mode0,mode1,mode2,cpu_temp,cpu_volt
21856.0,0,0,0,0,59,59,59,0,0,0,CHG,CHG,CHG,CYCLE,CYCLE,CYCLE,61.8125,0.83984375
21920.0,0,0,0,0,119,119,119,0,0,0,CHG,CHG,CHG,CYCLE,CYCLE,CYCLE,63.6875,0.83984375
21968.0,0,0,0,0,179,179,179,0,0,0,CHG,CHG,CHG,CYCLE,CYCLE,CYCLE,63.6875,0.83984375
22032.0,0,0,0,0,239,239,239,0,0,0,CHG,CHG,CHG,CYCLE,CYCLE,CYCLE,64.1875,0.83984375
22096.0,0,0,0,0,299,299,299,0,0,0,CHG,CHG,CHG,CYCLE,CYCLE,CYCLE,64.6875,0.83984375
22160.0,0,0,0,0,359,359,359,0,0,0,CHG,CHG,CHG,CYCLE,CYCLE,CYCLE,65.1875,0.83984375
22208.0,0,0,0,0,419,419,419,0,0,0,CHG,CHG,CHG,CYCLE,CYCLE,CYCLE,65.1875,0.83984375
22272.0,0,0,0,0,479,479,479,0,0,0,CHG,CHG,CHG,CYCLE,CYCLE,CYCLE,63.6875,0.83984375
22336.0,0,0,0,0,539,539,539,0,0,0,CHG,CHG,CHG,CYCLE,CYCLE,CYCLE,64.6875,0.83984375
22400.0,0,0,0,0,600,600,600,0,0,0,CHG,CHG,CHG,CYCLE,CYCLE,CYCLE,63.6875,0.83984375
22448.0,0,0,0,0,659,659,659,0,0,0,CHG,CHG,CHG,CYCLE,CYCLE,CYCLE,62.8125,0.83984375
22512.0,0,0,0,0,719,719,719,0,0,0,CHG,CHG,CHG,CYCLE,CYCLE,CYCLE,64.6875,0.83984375
